fakke;Nom;Spécialité;Note;Ville;A propos;Email;Site Web;Catégorie;Top
;Boucherie Dumont;Boucher;4.5;Lyon;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;boucherie.dumond@gmail.com;;Alimentation;FALSE
;Au pain chaud;Boulanger;4.8;Montélimar;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;aupainchaud@hotmail.com;;Alimentation;TRUE
;Chocolaterie Labbé;Chocolatier;4.9;Lyon;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;chocolaterie-labbe@gmail.com;https://chocolaterie-labbe.fr;Alimentation;TRUE
;Traiteur Truchon;Traiteur;4.1;Lyon;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;contact@truchon-traiteur.fr;https://truchon-traiteur.fr;Alimentation;FALSE
;Orville Salmons;Chauffagiste;5,0;Evian;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;o-salmons@live.com;;Bâtiment;TRUE
;Mont Blanc Eléctricité;Electricien;4.5;Chamonix;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;contact@mont-blanc-electricite.com;https://mont-blanc-electricite.com;Bâtiment;FALSE
;Boutot & fils;Menuisier;4.7;Bourg-en-bresse;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;boutot-menuiserie@gmail.com;https://boutot-menuiserie.com;Bâtiment;FALSE
;Vallis Bellemare;Plombier;4,0;Vienne;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;v.bellemare@gmail.com;https://plomberie-bellemare.com;Bâtiment;FALSE
;Claude Quinn;Bijoutier;4.2;Aix-les-bains;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;claude.quinn@gmail.com;;Fabrication;FALSE
;Amitee Lécuyer;Couturier;4.5;Annecy;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;a.amitee@hotmail.com;https://lecuyer-couture.com;Fabrication;FALSE
;Ernest Carignan;Ferronier;5,0;Le Puy-en-Velay;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;e-carigan@hotmail.com;;Fabrication;FALSE
;Royden Charbonneau;Coiffeur;3.8;Saint-Priest;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;r.charbonneau@gmail.com;;Services;FALSE
;Leala Dennis;Coiffeur;3.8;Chambéry;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;l.dennos@hotmail.fr;https://coiffure-leala-chambery.fr;Services;FALSE
;C'est sup'hair;Coiffeur;4.1;Romans-sur-Isère;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;sup-hair@gmail.com;https://sup-hair.fr;Services;FALSE
;Le monde des fleurs;Fleuriste;4.6;Annonay;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;contact@le-monde-des-fleurs-annonay.fr;https://le-monde-des-fleurs-annonay.fr;Services;FALSE
;Valérie Laderoute;Toiletteur;4.5;Valence;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;v-laredoute@gmail.com;;Services;FALSE
;CM Graphisme;Webdesign;4.4;Valence;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Phasellus eleifend ante sem, id volutpat massa fermentum nec. Praesent volutpat scelerisque mauris, quis sollicitudin tellus sollicitudin. ;contact@cm-graphisme.com;https://cm-graphisme.com;Services;FALSE
